brand_raw,raw_text,url,size_hint_inch,price_hint_eur,price_local,currency,price_eur,platform,country,scraped_at,asin,elkjop_sku,model_year,filter_year,source_brand,fx_rate_date
Samsung,"Samsung Smart TV 43-Inch U7020H Crystal UHD 4K TV, HDR10+, Motion Xcelerator, Dynamic Sound Pack, Gaming Hub, Knox Security, Vision AI Companion [2026]",https://www.amazon.co.uk/dp/B0GWJMJMKV,43.0,301.26,259.0,GBP,301.26,Amazon,GB,2026-08-18T04:51:51Z,B0GWJMJMKV,,,,,2026-07-01
Samsung,"Samsung Smart TV 55-Inch U7020H Crystal UHD 4K TV, HDR10+, Motion Xcelerator, Dynamic Sound Pack, Gaming Hub, Knox Security, Vision AI Companion [2026]",https://www.amazon.co.uk/dp/B0GWJGV816,55.0,405.94,349.0,GBP,405.94,Amazon,GB,2026-08-18T04:51:51Z,B0GWJGV816,,,,,2026-07-01
Samsung,"Samsung Smart TV 50-Inch U7020H Crystal UHD 4K TV, HDR10+, Motion Xcelerator, Dynamic Sound Pack, Gaming Hub, Knox Security, Vision AI Companion [2026]",https://www.amazon.co.uk/dp/B0GWJK91S6,50.0,336.15,289.0,GBP,336.15,Amazon,GB,2026-08-18T04:51:51Z,B0GWJK91S6,,,,,2026-07-01
Samsung,"Samsung Smart TV 43-Inch U8000H Crystal UHD 4K TV, HDR10+, Motion Xcelerator, Dynamic Sound Pack, Gaming Hub, Knox Security, Vision AI Companion [2026]",https://www.amazon.co.uk/dp/B0GYZQ5XDK,43.0,301.26,259.0,GBP,301.26,Amazon,GB,2026-08-18T04:51:51Z,B0GYZQ5XDK,,,,,2026-07-01
Samsung,Samsung 55 Inch Crystal UHD U8020F Smart TV,https://www.amazon.co.uk/dp/B0F6VSSSWX,55.0,378.03,325.0,GBP,378.03,Amazon,GB,2026-08-18T04:51:51Z,B0F6VSSSWX,,,,,2026-07-01
Samsung,"Samsung Smart TV 65-Inch U7020H Crystal UHD 4K TV, HDR10+, Motion Xcelerator, Dynamic Sound Pack, Gaming Hub, Knox Security, Vision AI Companion [2026]",https://www.amazon.co.uk/dp/B0GWJ51X7T,65.0,545.52,469.0,GBP,545.52,Amazon,GB,2026-08-18T04:51:51Z,B0GWJ51X7T,,,,,2026-07-01
Samsung,Samsung 43 Inch Crystal UHD U8020F Smart TV,https://www.amazon.co.uk/dp/B0F6VKMDQS,43.0,,,,,Amazon,GB,2026-08-18T04:51:51Z,B0F6VKMDQS,,,,,
Samsung,Samsung 50 Inch Crystal UHD U8020F Smart TV,https://www.amazon.co.uk/dp/B0F6VTVCW6,50.0,371.05,319.0,GBP,371.05,Amazon,GB,2026-08-18T04:51:51Z,B0F6VTVCW6,,,,,2026-07-01
Samsung,"Samsung Smart TV 50"" Q7F2 QLED 4K TV, Real QLED Certified, Q4 AI Processor, 100% Colour Volume with Quantum Dot, Knox Security, Endless Free Content, Samsung Vision AI [2025] | Real QLED Certified, Q4 AI Processor, 100% Colour Volume with Quantum Dot, Knox Security, Samsung Vision AI",https://www.amazon.co.uk/dp/B0F6NSJWL9,50.0,409.43,352.0,GBP,409.43,Amazon,GB,2026-08-18T04:51:51Z,B0F6NSJWL9,,,,,2026-07-01
Samsung,"Samsung 50"" QLED Q7FA 4K, Q4 AI Processor, 100% Colour Volume with Quantum Dot, Knox Security, Endless Free Content, Samsung Vision AI Smart TV, 2025",https://www.amazon.co.uk/dp/B0F6W2N6H1,50.0,,,,,Amazon,GB,2026-08-18T04:51:51Z,B0F6W2N6H1,,,,,
