brand_raw,raw_text,url,size_hint_inch,price_hint_eur,price_local,currency,price_eur,platform,country,scraped_at,asin,elkjop_sku,model_year,filter_year,source_brand,fx_rate_date
Samsung,"Samsung HD Smart TV 32'' UE32H5000FKXZT HD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adaptive S...",https://www.amazon.it/dp/B0DF6NHYS6,32.0,189.0,189.0,EUR,189.0,Amazon,IT,2026-08-26T04:57:43Z,B0DF6NHYS6,,,,,
Samsung,"Samsung Crystal UHD 4K Smart TV 55'' UE55U8090FUXZT, Crystal 4K Processor, HDR, Smart Experience, OTS Lite & Adaptive Soun...",https://www.amazon.it/dp/B0F4SMDPLN,55.0,369.0,369.0,EUR,369.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4SMDPLN,,,,,
Samsung,"Samsung Crystal UHD 4K Smart TV 50'' UE50U8090FUXZT, Crystal 4K Processor, HDR, Smart Experience, OTS Lite & Adaptive Soun...",https://www.amazon.it/dp/B0F4T2H64V,50.0,336.0,336.0,EUR,336.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4T2H64V,,,,,
Samsung,"Samsung Smart TV 40'' UE40F6000FUXZT FHD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adaptive Sou...",https://www.amazon.it/dp/B0DF6NQWTW,40.0,269.0,269.0,EUR,269.0,Amazon,IT,2026-08-26T04:57:43Z,B0DF6NQWTW,,,,,
Samsung,"Samsung Full HD Smart TV 32'' UE32F6000FUXZT FHD, Hyper Real Processor, HDR & Pur Color, Smart Experience, OTS Lite & Adap...",https://www.amazon.it/dp/B0F7LK6NJ8,32.0,219.0,219.0,EUR,219.0,Amazon,IT,2026-08-26T04:57:43Z,B0F7LK6NJ8,,,,,
Samsung,"Samsung QLED 4K Vision AI Smart TV 43'' QE43Q7F4AUXZT QLED 4K, Q4 Processor, 100% Volume Colore con Quantum Dot, Motion Xc...",https://www.amazon.it/dp/B0F4T3L594,43.0,359.0,359.0,EUR,359.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4T3L594,,,,,
Samsung,"Samsung Neo QLED 4K Vision AI Smart TV 55'' QE55QN74FATXZT Mini LED, NQ4 AI Gen2 Processor, AI Upscaling, Motion Xcelerato...",https://www.amazon.it/dp/B0F4SPK1HV,55.0,555.0,555.0,EUR,555.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4SPK1HV,,,,,
Samsung,"Samsung Smart TV 32"" QE32Q5FAAUXZT QLED, Full HD, Real QLED, Quantum HDR, Contrast Enhancer, OTS Lite, Adaptive Sound, Gam...",https://www.amazon.it/dp/B0GWN3FQZ4,32.0,279.0,279.0,EUR,279.0,Amazon,IT,2026-08-26T04:57:43Z,B0GWN3FQZ4,,,,,
Samsung,"Samsung QLED 4K Vision AI Smart TV 50'' QE50Q7F4AUXZT, Q4 Processor, 100% Volume Colore con Quantum Dot, Motion Xcelerato...",https://www.amazon.it/dp/B0F4STTNXW,50.0,399.0,399.0,EUR,399.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4STTNXW,,,,,
Samsung,"Samsung Crystal UHD 4K Smart TV 75'' UE75U7000FUXZT, Crystal 4K Processor, HDR, Smart Experience, OTS Lite & Adaptive Soun...",https://www.amazon.it/dp/B0F4T85B1Y,75.0,599.0,599.0,EUR,599.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4T85B1Y,,,,,
Samsung,"Samsung Smart TV 50"" UE50U8090HUXZT Crystal UHD, Crystal 4K Processor, HDR10+, PurColor, Motion Xcelerator, Dynamic Sound ...",https://www.amazon.it/dp/B0GZL6KZ7J,50.0,369.0,369.0,EUR,369.0,Amazon,IT,2026-08-26T04:57:43Z,B0GZL6KZ7J,,,,,
Xiaomi,"XIAOMI TV F 32, 32 pollici (81 cm), HD, Smart TV, Fire TV,Triple Tuner DVB-C/S/S2/T/T2, Dolby Audio, DTS Virtual:X, DTS-H...",https://www.amazon.it/dp/B0F4548TCQ,32.0,132.0,132.0,EUR,132.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4548TCQ,,,,,
Samsung,"Samsung OLED 4K Vision AI Smart TV 55'' QE55S94FAEXZT OLED 4K, NQ4 AI Gen3 Processor, 4K AI Upscaling Pro, Motion Xcelerat...",https://www.amazon.it/dp/B0F4T42MF6,55.0,899.0,899.0,EUR,899.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4T42MF6,,,,,
Samsung,"Samsung Smart TV 43"" UE43M72HAUXZT Mini LED 4K, HDR 10+, Motion Xcelerator 50Hz, Dynamic Sound Pack, Gaming Hub, Pure Spec...",https://www.amazon.it/dp/B0GX1PLM4D,43.0,399.0,399.0,EUR,399.0,Amazon,IT,2026-08-26T04:57:43Z,B0GX1PLM4D,,,,,
Samsung,"Samsung Smart TV 55"" UE55M80HAUXZT Mini LED 4K, HDR 10+, Motion Xcelerator 144Hz, Adpative Sound+, AI Football Mode, Voice...",https://www.amazon.it/dp/B0GX1JTQZM,55.0,499.0,499.0,EUR,499.0,Amazon,IT,2026-08-26T04:57:43Z,B0GX1JTQZM,,,,,
Samsung,"Samsung Business TV Serie BEF-H da 50"", UHD 3840x2160 con Funzionalità HDR10+, Tizen, HDMI, USB, Bluetooth, WiFi, Accesso ...",https://www.amazon.it/dp/B0GBYXR1RS,50.0,299.9,299.9,EUR,299.9,Amazon,IT,2026-08-26T04:57:43Z,B0GBYXR1RS,,,,,
Samsung,"Samsung TV UE43DU7190UXZT LED 4K, Smart TV 43"" Crystal Processor 4K, Slim Look, DVBT-2, Q-Symphony & OTS Lite, Integrato c...",https://www.amazon.it/dp/B0D17TB2DX,43.0,,,,,Amazon,IT,2026-08-26T04:57:43Z,B0D17TB2DX,,,,,
Samsung,"Samsung Neo QLED 4K Vision AI Smart TV 50'' QE50QN94FATXZT, NQ4 AI Gen3 Processor, AI Upscaling Pro, Glare Free, Motion Xc...",https://www.amazon.it/dp/B0F4T26ZVW,50.0,649.0,649.0,EUR,649.0,Amazon,IT,2026-08-26T04:57:43Z,B0F4T26ZVW,,,,,
Samsung,"Samsung Smart TV 43"" QE43Q64DAUXZT QLED 4K Upscaling, Processore Quantum 4K Lite, AirSlim Design, DVBT-2, Q-Symphony & OTS...",https://www.amazon.it/dp/B0D2DV159J,43.0,331.87,331.87,EUR,331.87,Amazon,IT,2026-08-26T04:57:43Z,B0D2DV159J,,,,,
Panasonic,"Panasonic TV-40S55AEZ, Serie S55 40 pollici Smart TV LED Full HD, 2024, Fire TV, HD Colour Engine, HDR, Alexa Voice Contro...",https://www.amazon.it/dp/B0H2MJG3K9,40.0,209.0,209.0,EUR,209.0,Amazon,IT,2026-08-26T04:57:43Z,B0H2MJG3K9,,,,,
Samsung,"Samsung OLED 4K Vision AI Smart TV 65'' QE65S85FAEXZT, NQ4 AI Gen2 Processor, 4K AI Upscaling, Glare Free, Dolby Atmos & O...",https://www.amazon.it/dp/B0F7LMKF5C,65.0,1099.0,1099.0,EUR,1099.0,Amazon,IT,2026-08-26T04:57:43Z,B0F7LMKF5C,,,,,
Samsung,"Samsung Lifestyle TV QE32LS03CBUXZT The Frame QLED Full HD, Smart TV 32"" Matte Display, Art Mode, OTS Lite, Integrato con ...",https://www.amazon.it/dp/B0BWFPKGMZ,32.0,293.94,293.94,EUR,293.94,Amazon,IT,2026-08-26T04:57:43Z,B0BWFPKGMZ,,,,,
Samsung,"Samsung QLED 4K Vision AI Smart TV 55'' QE55Q7F5AUXZT, Q4 AI Processor, Upscaling, 100% di Volume Colore con Quantum Dot, ...",https://www.amazon.it/dp/B0F7LJZCDT,55.0,429.0,429.0,EUR,429.0,Amazon,IT,2026-08-26T04:57:43Z,B0F7LJZCDT,,,,,
Samsung,"Samsung Smart TV 55"" QE55QN72HAUXZT Neo QLED 4K Mini LED, NQ4 AI Processor, Quantum Mini LED, Real QLED 100% Colour Volum...",https://www.amazon.it/dp/B0H26TC55Q,55.0,654.0,654.0,EUR,654.0,Amazon,IT,2026-08-26T04:57:43Z,B0H26TC55Q,,,,,
Samsung,"Samsung QLED 4K Vision AI Smart TV 55'' QE55Q6FAAUXZT, Q4 Lite Processor, 4K AI Upscaling, Art Store, OTS Lite & Adaptive ...",https://www.amazon.it/dp/B0FXGJKMQQ,55.0,449.0,449.0,EUR,449.0,Amazon,IT,2026-08-26T04:57:43Z,B0FXGJKMQQ,,,,,
Panasonic,"Panasonic TV-24S50AEZC, 24 pollici televisore TV LED HD TV, Fire TV | HD Colour Engine, HDR, Alexa Voice Control, Game Mod...",https://www.amazon.it/dp/B0H2MPDR7G,24.0,169.0,169.0,EUR,169.0,Amazon,IT,2026-08-26T04:57:43Z,B0H2MPDR7G,,,,,
Samsung,"Samsung The Frame 4K Vision AI Smart TV 43'' QE43LS03FAUXZT QLED 4K, NQ4 AI Gen2 Processor, AI Upscaling, Matte Display, D...",https://www.amazon.it/dp/B0F7LKMLPP,43.0,629.0,629.0,EUR,629.0,Amazon,IT,2026-08-26T04:57:43Z,B0F7LKMLPP,,,,,
Samsung,"Samsung QLED 4K Vision AI Smart TV 98'' QE98Q7FAAUXZT Q7F, Q4 AI Processor, 100% Volume Colore con Quantum Dot, Motion Xce...",https://www.amazon.it/dp/B0GMRDH68F,98.0,1599.0,1599.0,EUR,1599.0,Amazon,IT,2026-08-26T04:57:43Z,B0GMRDH68F,,,,,
Samsung,"Samsung TV UE32T4300AKXZT Smart TV HD, 32' Pollici, Nero (Ricondizionato)",https://www.amazon.it/dp/B09YM6VQR6,32.0,172.0,172.0,EUR,172.0,Amazon,IT,2026-08-26T04:57:43Z,B09YM6VQR6,,,,,
