brand_raw,raw_text,url,size_hint_inch,price_hint_eur,platform,country,scraped_at
TCL,TV Mini Led TCL 55C69K 2025-55 pouces (139cm),https://www.boulanger.com/ref/1218992,55.0,549.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini LED TCL 65C69K 2025-65 pouces (164cm),https://www.boulanger.com/ref/1218993,65.0,649.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini Led TCL 65C79K 2025 - 65 pouces ( 164 cm ),https://www.boulanger.com/ref/1221021,65.0,799.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini LED TCL 55C89K 2025-55 pouces (139cm),https://www.boulanger.com/ref/1221057,55.0,799.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini LED TCL 65C89K 2025-65 pouces (164cm),https://www.boulanger.com/ref/1221058,65.0,1099.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini LED TCL 75C89K 2025-75 pouces (189cm),https://www.boulanger.com/ref/1221059,75.0,1499.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini LED TCL 98C79K 2025-98 pouces (248cm),https://www.boulanger.com/ref/1221051,98.0,2599.0,Boulanger,FR,2026-06-19T16:15:03Z
TCL,TV Mini LED TCL 98C89K 2025-98 pouces (248cm),https://www.boulanger.com/ref/1221061,98.0,2899.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV QLED SAMSUNG TQ75Q7F5 (2025) 75"" (189 cm) 4K - Smart TV avec IA",https://www.boulanger.com/ref/1221583,75.0,999.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,Barre de son Samsung HW-B760F offerte *,https://www.boulanger.com/ref/1221920,,,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV Mini LED SAMSUNG TQ65QN77F (2025) 65"" (163 cm) 4K - 100Hz, NeoQLED (contrastes intenses)",https://www.boulanger.com/ref/1221549,65.0,799.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,TV Mini LED SAMSUNG NeoQLED TQ75QN77F 2025-75 pouces 189cm,https://www.boulanger.com/ref/1221550,75.0,1199.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV OLED SAMSUNG TQ65S95F (2025) 65"" (163 cm) 4K - 100Hz, sans reflet",https://www.boulanger.com/ref/1221656,65.0,2199.0,Boulanger,FR,2026-06-19T16:15:03Z
Hisense,TV QLED HISENSE 65E79Q PRO 2025 (164cm),https://www.boulanger.com/ref/1222700,65,549.0,Boulanger,FR,2026-06-19T16:15:03Z
Hisense,TV QLED HISENSE 75E79Q PRO 2025 (189cm),https://www.boulanger.com/ref/1222638,74,749.0,Boulanger,FR,2026-06-19T16:15:03Z
Hisense,TV Mini LED HISENSE 65U8Q 2025 (164cm),https://www.boulanger.com/ref/1222636,65,899.0,Boulanger,FR,2026-06-19T16:15:03Z
Hisense,TV Mini LED HISENSE 55U7Q PRO 2025 (139cm),https://www.boulanger.com/ref/1222694,55,549.0,Boulanger,FR,2026-06-19T16:15:03Z
Hisense,TV Mini LED HISENSE 100U7Q 2025,https://www.boulanger.com/ref/1222660,,2290.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV OLED SAMSUNG TQ77S95H (2026) 77"" (195 cm) 4K - Smart TV avec IA, sans reflet, boîtier déporté (câble invisible)",https://www.boulanger.com/ref/1240093,77.0,4699.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,TV OLED SAMSUNG TQ55S90F 4K AI Smart TV2025,https://www.boulanger.com/ref/1221677,,1199.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,TV QLED SAMSUNG TQ43Q7F3 4K AI SmartTV 2025,https://www.boulanger.com/ref/1221575,,449.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV OLED SAMSUNG TQ48S90F (2025) 48"" (120 cm) 4K - 100Hz, Smart TV",https://www.boulanger.com/ref/1221618,48.0,1049.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV Mini LED SAMSUNG TQ55QN77F (2025) 55"" (138 cm) 4K - Smart TV avec IA, NeoQLED (contrastes intenses)",https://www.boulanger.com/ref/1221548,55.0,649.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV QLED SAMSUNG The Frame TQ55LS03FA (2025) 55"" (138 cm) 4K Ultra HD - Mode art (effet tableau), sans reflet",https://www.boulanger.com/ref/1221231,55.0,999.0,Boulanger,FR,2026-06-19T16:15:03Z
Samsung,"SAMSUNG TV QLED SAMSUNG TQ50Q8FA (2025) 50"" (125 cm) 4K - Smart TV avec IA",https://www.boulanger.com/ref/1221576,50.0,429.0,Boulanger,FR,2026-06-19T16:15:03Z
