brand_raw,raw_text,url,size_hint_inch,price_hint_eur,platform,country,scraped_at
Toshiba,toshiba fire tv 32wf2f53db 32 smart hd ready hdr led tv with amazon alexa 10260880.html,https://www.currys.co.uk/products/toshiba-fire-tv-32wf2f53db-32-smart-hd-ready-hdr-led-tv-with-amazon-alexa-10260880.html,32.0,129.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg nano81a 50 nanocell ai 4k hdr smart tv 2025 50nano81a6a 10282148.html,https://www.currys.co.uk/products/lg-nano81a-50-nanocell-ai-4k-hdr-smart-tv-2025-50nano81a6a-10282148.html,50.0,299.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense a6q 55 led 4k hdr smart tv with freely 55a6qtuk 10283886.html,https://www.currys.co.uk/products/hisense-a6q-55-led-4k-hdr-smart-tv-with-freely-55a6qtuk-10283886.html,55.0,299.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense a6q 50 led 4k hdr smart tv with freely 50a6qtuk 10284267.html,https://www.currys.co.uk/products/hisense-a6q-50-led-4k-hdr-smart-tv-with-freely-50a6qtuk-10284267.html,50.0,279.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung u8000f 75 crystal uhd 4k hdr smart tv 2025 ue75u8000f 10282642.html,https://www.currys.co.uk/products/samsung-u8000f-75-crystal-uhd-4k-hdr-smart-tv-2025-ue75u8000f-10282642.html,75.0,649.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung q7f 55 qled 4k vision ai smart tv 2025 qe55q7f 10282631.html,https://www.currys.co.uk/products/samsung-q7f-55-qled-4k-vision-ai-smart-tv-2025-qe55q7f-10282631.html,55.0,429.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense e7q 55 qled 4k smart ai tv with freely 55e7qtuk 10284273.html,https://www.currys.co.uk/products/hisense-e7q-55-qled-4k-smart-ai-tv-with-freely-55e7qtuk-10284273.html,55.0,,Currys,GB,2026-06-22T10:23:58Z
LG,lg ua75 55 led 4k hdr smart tv 2025 55ua75006la 10282133.html,https://www.currys.co.uk/products/lg-ua75-55-led-4k-hdr-smart-tv-2025-55ua75006la-10282133.html,55.0,299.99,Currys,GB,2026-06-22T10:23:58Z
LG,lg b5 55 oled ai 4k hdr smart tv 2025 oled55b56la 10281768.html,https://www.currys.co.uk/products/lg-b5-55-oled-ai-4k-hdr-smart-tv-2025-oled55b56la-10281768.html,55.0,819.0,Currys,GB,2026-06-22T10:23:58Z
TCL,tcl sf560 32%E2%80%9D qled full hd smart fire tv 32sf560uk 10289020.html,https://www.currys.co.uk/products/tcl-sf560-32%E2%80%9D-qled-full-hd-smart-fire-tv-32sf560uk-10289020.html,,149.0,Currys,GB,2026-06-22T10:23:58Z
