catalog_snapshot,brand_raw,raw_text,url,size_hint_inch,price_hint_eur,price_local,currency,price_eur,platform,country,scraped_at,asin,elkjop_sku,model_year,filter_year,source_brand,fx_rate_date,Quarantine Reason
boulanger_fr_20260817.csv,LG,TV LG 65G6 2026 ( 164 cm ),https://www.boulanger.com/ref/1239936,65,399.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,LG,TV LG 50QNED86B 2026,https://www.boulanger.com/ref/1239790,,399.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,LG,TV LG 48C6 2026 ( 121 cm ),https://www.boulanger.com/ref/1239830,48,399.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,LG,TV LG 55MRGB86B6 (139cm) 2026,https://www.boulanger.com/ref/1240876,55,399.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,TCL,TV TCL SQD 65C79L 2026 - 65 pouces ( 164,https://www.boulanger.com/ref/1238877,65.0,699.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,TCL,TV TCL SQD 65C89L 2026 - 65 pouces ( 164,https://www.boulanger.com/ref/1238872,65.0,699.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,TCL,TV TCL SQD 55C89L 2026 - 55 pouces ( 139,https://www.boulanger.com/ref/1238873,55.0,699.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260817.csv,TCL,TV TCL SQD 75X11L 2026 - 75 pouces ( 189,https://www.boulanger.com/ref/1238818,75.0,699.0,,,,Boulanger,FR,2026-08-17T05:02:55Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260824.csv,TCL,TV TCL SQD 65C79L 2026 - 65 pouces ( 164,https://www.boulanger.com/ref/1238877,65.0,749.0,,,,Boulanger,FR,2026-08-24T05:06:17Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260824.csv,TCL,TV TCL SQD 65C89L 2026 - 65 pouces ( 164,https://www.boulanger.com/ref/1238872,65.0,749.0,,,,Boulanger,FR,2026-08-24T05:06:17Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260824.csv,TCL,TV TCL SQD 55C89L 2026 - 55 pouces ( 139,https://www.boulanger.com/ref/1238873,55.0,749.0,,,,Boulanger,FR,2026-08-24T05:06:17Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
boulanger_fr_20260824.csv,TCL,TV TCL SQD 75X11L 2026 - 75 pouces ( 189,https://www.boulanger.com/ref/1238818,75.0,749.0,,,,Boulanger,FR,2026-08-24T05:06:17Z,,,,,,,boulanger_product_card_price_leak_confirmed_2026-08-24
