Date,Time,Brand,Product Name,Country,Platform,Price,Currency,Page Title,Status,Price_Trend
2026-07-19,07:42:23,Samsung,65S90F,GB,Currys,1299.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,65C5,GB,Currys,1499.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,55E7QPRO,GB,Currys,445.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,65G5,GB,Currys,1999.0,GBP,Batch category snapshot,Success,降价
2026-07-19,07:42:23,Sony,65XR75M2,GB,Currys,2299.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,55C5,GB,Currys,998.97,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,55QNED70A,GB,Currys,365.47,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,65U7QPRO,GB,Currys,799.97,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,43Q7F,GB,Currys,239.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,65U8005F,GB,Currys,399.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,43U8005F,GB,Currys,229.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,43A6Q,GB,Currys,209.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,50A6Q,GB,Currys,249.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,55U7QPRO,GB,Currys,649.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,55E7Q,GB,Currys,329.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,55A6Q,GB,Currys,299.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,TCL,32SF560,GB,Currys,138.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,65UA7500,GB,Currys,399.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,TCL,40SF560,GB,Currys,168.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,75U8005F,GB,Currys,619.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,65Q7F,GB,Currys,549.0,GBP,Batch category snapshot,Success,降价
2026-07-19,07:42:23,LG,43QNED70A,GB,Currys,249.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,50E7Q,GB,Currys,299.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,55S85F,GB,Currys,749.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,65A6Q,GB,Currys,399.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,55UA7500,GB,Currys,299.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,55QN80F,GB,Currys,549.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,50QNED70A,GB,Currys,319.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,50E7QPRO,GB,Currys,395.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Sony,43S32BP,GB,Currys,449.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,65QNED70A,GB,Currys,499.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,55QN70F,GB,Currys,599.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,43E7Q,GB,Currys,269.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,50QN90F,GB,Currys,659.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,65E7QPRO,GB,Currys,589.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Sony,50S32BP,GB,Currys,499.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,55NANO81A6A,GB,Currys,379.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,65NANO81A6A,GB,Currys,479.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,42S90F,GB,Currys,749.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Sony,55XR8M25BP,GB,Currys,1799.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,55LS03H,GB,Currys,1599.0,GBP,Batch category snapshot,Success,涨价
2026-07-19,07:42:23,Hisense,75U8Q,GB,Currys,1399.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Sony,65XR80U,GB,Currys,1599.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,TCL,85P7K,GB,Currys,799.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Hisense,75E7QPRO,GB,Currys,789.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,85M70H,GB,Currys,1399.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,LG,75NU800B,GB,Currys,649.99,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,65LS03FW,GB,Currys,1169.0,GBP,Batch category snapshot,Success,持平
2026-07-19,07:42:23,Samsung,65QN80F,GB,Currys,999.0,GBP,Batch category snapshot,Success,持平
